,user_loc,fr_loc,scaled_sci,user_city_id,fr_city_id
188,ISPARTA,EDIRNE,7416,39,28
189,BURDUR,EDIRNE,7457,20,28
190,ADANA,EDIRNE,5184,1,28
191,MERSIN,EDIRNE,5623,59,28
192,HATAY,EDIRNE,5356,37,28
193,KAHRAMANMARAS,EDIRNE,5530,42,28
194,OSMANIYE,EDIRNE,7637,65,28
195,KIRIKKALE,EDIRNE,7449,49,28
196,AKSARAY,EDIRNE,6963,5,28
197,NIGDE,EDIRNE,8024,63,28
198,NEVSEHIR,EDIRNE,8446,62,28
199,KIRSEHIR,EDIRNE,6552,51,28
200,KAYSERI,EDIRNE,5098,47,28
201,SIVAS,EDIRNE,6840,73,28
202,YOZGAT,EDIRNE,7624,81,28
203,ZONGULDAK,EDIRNE,10537,82,28
204,KARABUK,EDIRNE,10427,43,28
205,BARTIN,EDIRNE,9209,13,28
206,KASTAMONU,EDIRNE,9479,46,28
207,CANKIRI,EDIRNE,7525,23,28
208,SINOP,EDIRNE,8707,71,28
209,SAMSUN,EDIRNE,7926,68,28
210,TOKAT,EDIRNE,9706,75,28
211,CORUM,EDIRNE,6789,24,28
212,AMASYA,EDIRNE,9000,6,28
213,TRABZON,EDIRNE,7827,76,28
214,ORDU,EDIRNE,11907,64,28
215,GIRESUN,EDIRNE,7139,34,28
216,RIZE,EDIRNE,7995,66,28
217,ARTVIN,EDIRNE,8218,10,28
218,GUMUSHANE,EDIRNE,13808,35,28
219,ERZURUM,EDIRNE,8011,31,28
220,ERZINCAN,EDIRNE,9322,30,28
221,BAYBURT,EDIRNE,12066,15,28
222,AGRI,EDIRNE,16941,4,28
223,KARS,EDIRNE,18014,45,28
224,IGDIR,EDIRNE,19210,38,28
225,ARDAHAN,EDIRNE,11609,9,28
226,MALATYA,EDIRNE,6542,56,28
227,ELAZIG,EDIRNE,5860,29,28
228,BINGOL,EDIRNE,5901,17,28
229,TUNCELI,EDIRNE,10235,77,28
230,VAN,EDIRNE,9040,79,28
231,MUS,EDIRNE,8924,61,28
232,BITLIS,EDIRNE,6449,18,28
233,HAKKARI,EDIRNE,9453,36,28
234,GAZIANTEP,EDIRNE,4432,33,28
235,ADIYAMAN,EDIRNE,5589,2,28
236,KILIS,EDIRNE,5566,48,28
237,SANLIURFA,EDIRNE,6147,69,28
238,DIYARBAKIR,EDIRNE,5206,26,28
239,MARDIN,EDIRNE,6517,58,28
240,BATMAN,EDIRNE,6799,14,28
241,SIRNAK,EDIRNE,6276,72,28
242,SIIRT,EDIRNE,6098,70,28
243,ISTANBUL,KIRKLARELI,19548,40,50
244,TEKIRDAG,KIRKLARELI,208331,74,50
245,EDIRNE,KIRKLARELI,209592,28,50
246,KIRKLARELI,KIRKLARELI,4235754,50,50
247,BALIKESIR,KIRKLARELI,15083,12,50
248,CANAKKALE,KIRKLARELI,29312,22,50
249,IZMIR,KIRKLARELI,8556,41,50
250,AYDIN,KIRKLARELI,8767,11,50
251,DENIZLI,KIRKLARELI,6963,25,50
252,MUGLA,KIRKLARELI,9609,60,50
253,MANISA,KIRKLARELI,7853,57,50
254,AFYONKARAHISAR,KIRKLARELI,7550,3,50
255,KUTAHYA,KIRKLARELI,7365,55,50
256,USAK,KIRKLARELI,6294,78,50
257,BURSA,KIRKLARELI,10126,21,50
258,ESKISEHIR,KIRKLARELI,9254,32,50
259,BILECIK,KIRKLARELI,9717,16,50
260,KOCAELI,KIRKLARELI,11360,53,50
261,SAKARYA,KIRKLARELI,10587,67,50
262,DUZCE,KIRKLARELI,8478,27,50
263,BOLU,KIRKLARELI,8241,19,50
264,YALOVA,KIRKLARELI,11863,80,50
265,ANKARA,KIRKLARELI,7348,7,50
266,KONYA,KIRKLARELI,6734,54,50
267,KARAMAN,KIRKLARELI,5639,44,50
268,ANTALYA,KIRKLARELI,7472,8,50
269,ISPARTA,KIRKLARELI,7805,39,50
270,BURDUR,KIRKLARELI,7806,20,50
271,ADANA,KIRKLARELI,4922,1,50
272,MERSIN,KIRKLARELI,5194,59,50
273,HATAY,KIRKLARELI,4240,37,50
274,KAHRAMANMARAS,KIRKLARELI,5221,42,50
275,OSMANIYE,KIRKLARELI,7197,65,50
276,KIRIKKALE,KIRKLARELI,7800,49,50
277,AKSARAY,KIRKLARELI,8245,5,50
278,NIGDE,KIRKLARELI,11402,63,50
279,NEVSEHIR,KIRKLARELI,7171,62,50
280,KIRSEHIR,KIRKLARELI,6613,51,50
281,KAYSERI,KIRKLARELI,5240,47,50
282,SIVAS,KIRKLARELI,7166,73,50
283,YOZGAT,KIRKLARELI,7585,81,50
284,ZONGULDAK,KIRKLARELI,9169,82,50
285,KARABUK,KIRKLARELI,8750,43,50
286,BARTIN,KIRKLARELI,10088,13,50
287,KASTAMONU,KIRKLARELI,14402,46,50
288,CANKIRI,KIRKLARELI,7334,23,50
289,SINOP,KIRKLARELI,10510,71,50
290,SAMSUN,KIRKLARELI,9165,68,50
291,TOKAT,KIRKLARELI,9516,75,50
292,CORUM,KIRKLARELI,6197,24,50
293,AMASYA,KIRKLARELI,8629,6,50
294,TRABZON,KIRKLARELI,8999,76,50
295,ORDU,KIRKLARELI,11834,64,50
296,GIRESUN,KIRKLARELI,8858,34,50
297,RIZE,KIRKLARELI,7742,66,50
298,ARTVIN,KIRKLARELI,10965,10,50
299,GUMUSHANE,KIRKLARELI,17376,35,50
300,ERZURUM,KIRKLARELI,8885,31,50
301,ERZINCAN,KIRKLARELI,9442,30,50
302,BAYBURT,KIRKLARELI,10557,15,50
303,AGRI,KIRKLARELI,11073,4,50
304,KARS,KIRKLARELI,15612,45,50
305,IGDIR,KIRKLARELI,23367,38,50
306,ARDAHAN,KIRKLARELI,13154,9,50
307,MALATYA,KIRKLARELI,6000,56,50
308,ELAZIG,KIRKLARELI,5542,29,50
309,BINGOL,KIRKLARELI,5340,17,50
310,TUNCELI,KIRKLARELI,10002,77,50
311,VAN,KIRKLARELI,7699,79,50
312,MUS,KIRKLARELI,7405,61,50
313,BITLIS,KIRKLARELI,6290,18,50
314,HAKKARI,KIRKLARELI,7551,36,50
315,GAZIANTEP,KIRKLARELI,3857,33,50
316,ADIYAMAN,KIRKLARELI,6349,2,50
317,KILIS,KIRKLARELI,4062,48,50
318,SANLIURFA,KIRKLARELI,5437,69,50
319,DIYARBAKIR,KIRKLARELI,4343,26,50
320,MARDIN,KIRKLARELI,4433,58,50
321,BATMAN,KIRKLARELI,5473,14,50
322,SIRNAK,KIRKLARELI,5067,72,50
323,SIIRT,KIRKLARELI,6075,70,50
324,ISTANBUL,BALIKESIR,10571,40,12
325,TEKIRDAG,BALIKESIR,14856,74,12
326,EDIRNE,BALIKESIR,18678,28,12
327,KIRKLARELI,BALIKESIR,15083,50,12
328,BALIKESIR,BALIKESIR,1162206,12,12
329,CANAKKALE,BALIKESIR,79952,22,12
330,IZMIR,BALIKESIR,20622,41,12
331,AYDIN,BALIKESIR,12709,11,12
332,DENIZLI,BALIKESIR,9535,25,12
333,MUGLA,BALIKESIR,14197,60,12
334,MANISA,BALIKESIR,37833,57,12
335,AFYONKARAHISAR,BALIKESIR,11092,3,12
336,KUTAHYA,BALIKESIR,22951,55,12
337,USAK,BALIKESIR,11590,78,12
338,BURSA,BALIKESIR,27997,21,12
339,ESKISEHIR,BALIKESIR,12716,32,12
340,BILECIK,BALIKESIR,16811,16,12
341,KOCAELI,BALIKESIR,11746,53,12
342,SAKARYA,BALIKESIR,9595,67,12
343,DUZCE,BALIKESIR,8678,27,12
344,BOLU,BALIKESIR,8915,19,12
345,YALOVA,BALIKESIR,15088,80,12
346,ANKARA,BALIKESIR,9680,7,12
347,KONYA,BALIKESIR,7442,54,12
348,KARAMAN,BALIKESIR,6242,44,12
349,ANTALYA,BALIKESIR,8844,8,12
350,ISPARTA,BALIKESIR,9555,39,12
351,BURDUR,BALIKESIR,9381,20,12
352,ADANA,BALIKESIR,5478,1,12
353,MERSIN,BALIKESIR,5958,59,12
354,HATAY,BALIKESIR,4611,37,12
355,KAHRAMANMARAS,BALIKESIR,5626,42,12
356,OSMANIYE,BALIKESIR,6578,65,12
357,KIRIKKALE,BALIKESIR,9211,49,12
358,AKSARAY,BALIKESIR,6852,5,12
359,NIGDE,BALIKESIR,8457,63,12
360,NEVSEHIR,BALIKESIR,8208,62,12
361,KIRSEHIR,BALIKESIR,7993,51,12
362,KAYSERI,BALIKESIR,6530,47,12
363,SIVAS,BALIKESIR,9877,73,12
364,YOZGAT,BALIKESIR,9787,81,12
365,ZONGULDAK,BALIKESIR,10267,82,12
366,KARABUK,BALIKESIR,9420,43,12
367,BARTIN,BALIKESIR,9608,13,12
368,KASTAMONU,BALIKESIR,11425,46,12
369,CANKIRI,BALIKESIR,9715,23,12
370,SINOP,BALIKESIR,9587,71,12
371,SAMSUN,BALIKESIR,7431,68,12
372,TOKAT,BALIKESIR,8547,75,12
373,CORUM,BALIKESIR,7719,24,12
374,AMASYA,BALIKESIR,10361,6,12
375,TRABZON,BALIKESIR,10186,76,12
376,ORDU,BALIKESIR,7793,64,12
377,GIRESUN,BALIKESIR,7336,34,12
378,RIZE,BALIKESIR,8520,66,12
379,ARTVIN,BALIKESIR,10164,10,12
380,GUMUSHANE,BALIKESIR,10571,35,12
381,ERZURUM,BALIKESIR,9678,31,12
382,ERZINCAN,BALIKESIR,10964,30,12
383,BAYBURT,BALIKESIR,11383,15,12
384,AGRI,BALIKESIR,15082,4,12
385,KARS,BALIKESIR,14335,45,12
386,IGDIR,BALIKESIR,12946,38,12
387,ARDAHAN,BALIKESIR,13486,9,12
388,MALATYA,BALIKESIR,7008,56,12
389,ELAZIG,BALIKESIR,7660,29,12
390,BINGOL,BALIKESIR,8108,17,12
391,TUNCELI,BALIKESIR,14241,77,12
392,VAN,BALIKESIR,8742,79,12
393,MUS,BALIKESIR,11075,61,12
394,BITLIS,BALIKESIR,7975,18,12
395,HAKKARI,BALIKESIR,8600,36,12
396,GAZIANTEP,BALIKESIR,4319,33,12
397,ADIYAMAN,BALIKESIR,5677,2,12
398,KILIS,BALIKESIR,4811,48,12
399,SANLIURFA,BALIKESIR,5727,69,12
